Season,Aut,Aut,Aut,HSr,HSr,HSr,Smr,Smr,Smr,Spr,Spr,Spr,Wtr,Wtr,Wtr,WtrII,WtrII,WtrII
05:00,0.492,0.5,0.493,0.347,0.342,0.342,0.411,0.399,0.402,0.752,0.791,0.79,0.968,0.979,0.97,0.968,0.979,0.97
05:30,0.455,0.459,0.443,0.332,0.305,0.3,0.37,0.375,0.372,0.685,0.707,0.676,0.886,0.89,0.876,0.886,0.89,0.876
06:00,0.503,0.47,0.448,0.362,0.329,0.326,0.431,0.388,0.382,0.702,0.723,0.697,0.871,0.839,0.821,0.871,0.839,0.821
06:30,0.522,0.487,0.457,0.387,0.35,0.342,0.443,0.41,0.403,0.7,0.698,0.717,0.87,0.838,0.801,0.87,0.838,0.801
07:00,0.59,0.514,0.489,0.401,0.372,0.345,0.485,0.415,0.399,0.716,0.679,0.727,0.915,0.819,0.805,0.915,0.819,0.805
07:30,0.678,0.534,0.509,0.465,0.407,0.383,0.548,0.46,0.414,0.758,0.701,0.692,1.017,0.866,0.842,1.017,0.866,0.842
08:00,0.692,0.606,0.565,0.536,0.459,0.443,0.583,0.496,0.47,0.767,0.738,0.67,0.692,0.592,0.556,0.692,0.592,0.556
08:30,0.663,0.685,0.586,0.544,0.515,0.484,0.568,0.55,0.523,0.754,0.746,0.73,0.69,0.672,0.61,0.69,0.672,0.61
09:00,0.47,0.563,0.514,0.403,0.442,0.409,0.4,0.456,0.443,0.508,0.534,0.565,0.611,0.669,0.624,0.611,0.669,0.624
09:30,0.473,0.588,0.585,0.417,0.468,0.481,0.425,0.505,0.528,0.511,0.547,0.619,0.585,0.674,0.693,0.585,0.674,0.693
10:00,0.441,0.555,0.594,0.399,0.456,0.496,0.387,0.478,0.514,0.458,0.528,0.63,0.56,0.669,0.721,0.56,0.669,0.721
10:30,0.424,0.551,0.586,0.4,0.444,0.506,0.38,0.471,0.535,0.449,0.492,0.615,0.546,0.667,0.727,0.546,0.667,0.727
11:00,0.418,0.518,0.572,0.401,0.437,0.506,0.387,0.465,0.53,0.449,0.497,0.579,0.537,0.658,0.725,0.537,0.658,0.725
11:30,0.427,0.513,0.58,0.401,0.45,0.525,0.393,0.464,0.542,0.457,0.48,0.586,0.535,0.648,0.722,0.535,0.648,0.722
12:00,0.429,0.522,0.573,0.409,0.484,0.527,0.399,0.471,0.543,0.453,0.497,0.52,0.544,0.653,0.743,0.544,0.653,0.743
12:30,0.437,0.544,0.597,0.419,0.484,0.508,0.417,0.481,0.537,0.468,0.501,0.623,0.562,0.669,0.745,0.562,0.669,0.745
13:00,0.444,0.543,0.605,0.418,0.476,0.518,0.404,0.471,0.524,0.461,0.477,0.574,0.563,0.679,0.751,0.563,0.679,0.751
13:30,0.422,0.507,0.59,0.384,0.471,0.495,0.379,0.446,0.499,0.438,0.47,0.581,0.566,0.663,0.738,0.566,0.663,0.738
14:00,0.414,0.482,0.553,0.369,0.416,0.459,0.371,0.432,0.462,0.433,0.481,0.539,0.566,0.66,0.72,0.566,0.66,0.72
14:30,0.413,0.466,0.539,0.368,0.417,0.438,0.369,0.422,0.462,0.439,0.463,0.522,0.579,0.672,0.731,0.579,0.672,0.731
15:00,0.411,0.459,0.538,0.366,0.401,0.427,0.366,0.416,0.455,0.444,0.406,0.549,0.584,0.672,0.73,0.584,0.672,0.73
15:30,0.429,0.471,0.539,0.376,0.411,0.433,0.376,0.434,0.458,0.459,0.452,0.534,0.602,0.68,0.749,0.602,0.68,0.749
16:00,0.466,0.496,0.566,0.399,0.439,0.449,0.415,0.457,0.473,0.487,0.456,0.564,0.651,0.697,0.782,0.651,0.697,0.782
16:30,0.515,0.536,0.592,0.439,0.461,0.485,0.465,0.471,0.5,0.524,0.497,0.611,0.711,0.734,0.842,0.711,0.734,0.842
17:00,0.574,0.556,0.632,0.48,0.483,0.528,0.514,0.496,0.549,0.587,0.511,0.629,0.798,0.821,0.905,0.798,0.821,0.905
17:30,0.638,0.623,0.715,0.526,0.51,0.544,0.55,0.532,0.575,0.632,0.525,0.687,0.869,0.87,0.949,0.869,0.87,0.949
18:00,0.672,0.659,0.728,0.55,0.546,0.564,0.571,0.551,0.562,0.661,0.551,0.63,0.917,0.912,0.964,0.917,0.912,0.964
18:30,0.698,0.678,0.717,0.551,0.542,0.537,0.559,0.553,0.547,0.662,0.522,0.609,0.932,0.902,0.944,0.932,0.902,0.944
19:00,0.712,0.702,0.723,0.549,0.514,0.529,0.547,0.529,0.532,0.647,0.513,0.607,0.904,0.881,0.895,0.904,0.881,0.895
19:30,0.72,0.682,0.726,0.54,0.509,0.537,0.536,0.516,0.527,0.654,0.568,0.616,0.894,0.866,0.876,0.894,0.866,0.876
20:00,0.706,0.656,0.699,0.527,0.499,0.532,0.531,0.485,0.512,0.649,0.545,0.665,0.859,0.809,0.854,0.859,0.809,0.854
20:30,0.687,0.629,0.684,0.541,0.51,0.548,0.52,0.482,0.509,0.674,0.545,0.66,0.837,0.765,0.824,0.837,0.765,0.824
21:00,0.654,0.595,0.649,0.523,0.504,0.528,0.517,0.472,0.505,0.669,0.56,0.649,0.804,0.744,0.786,0.804,0.744,0.786
21:30,0.625,0.578,0.603,0.53,0.496,0.511,0.505,0.467,0.505,0.656,0.544,0.63,0.763,0.722,0.764,0.763,0.722,0.764
22:00,0.58,0.554,0.562,0.502,0.47,0.492,0.497,0.474,0.502,0.621,0.525,0.583,0.715,0.688,0.711,0.715,0.688,0.711
22:30,0.539,0.511,0.526,0.476,0.447,0.454,0.48,0.453,0.489,0.594,0.516,0.565,0.678,0.656,0.676,0.678,0.656,0.676
23:00,0.478,0.476,0.462,0.417,0.399,0.409,0.436,0.425,0.434,0.536,0.522,0.528,0.667,0.661,0.663,0.667,0.661,0.663
23:30,0.412,0.424,0.4,0.365,0.374,0.356,0.377,0.383,0.377,0.463,0.459,0.392,0.607,0.62,0.604,0.607,0.62,0.604
00:00,0.386,0.394,0.373,0.326,0.33,0.321,0.347,0.355,0.348,0.43,0.425,0.352,0.563,0.592,0.57,0.563,0.592,0.57
